nls_iters,Re,ej_ref_l2,time_fe_spaces,ndofs,ls_iters,eu_ref_h1,time_post_process,nsums,title,nc,ncells,time_jacobian,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_Ï†,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,time_solve,path
1,1.0,0.00032502659098368274,0.004633710999996765,182034,1,0.0003760712737255339,17.93593771899998,200,ha00050cx032px02ns200ps01km1,32,3072,11.491489856999976,2,50.0,0.005958472999992637,1,71442,0.00032502649330816717,24576,0.00038017814236927095,0.009602110596752714,0.0011225161478200583,0.4391557760000069,12288,3.39185062099231e-6,0.01965259845728952,73728,3.3922858528142943e-6,mpi,27.37416328500001,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx032px02ns200ps01km1_r1.bson
1,1.0,0.00017265811573156,0.006568802999993295,411282,1,0.00019350242752685777,18.907682099999988,200,ha00050cx048px03ns200ps01km1,48,6912,14.079235126000015,3,50.0,0.006456213000006983,1,162450,0.0001726581493694771,55296,0.0001974386014159396,0.009603963173518809,0.0011224274171422364,0.45540555000002314,27648,1.1880237835829834e-6,0.019652439790980945,165888,1.1890184810502913e-6,mpi,38.04819762300008,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx048px03ns200ps01km1_r1.bson
1,1.0,0.00010487144011378867,0.007888220999973328,732690,1,0.0001166748906348905,18.96512043299998,200,ha00050cx064px04ns200ps01km1,64,12288,18.55580771000001,4,50.0,0.006960276999990356,1,290322,0.00010487158475908372,98304,0.0001181319039716272,0.009604280316628263,0.0011224109381469075,0.4644207379999443,49152,5.427964320446263e-7,0.01965241440150332,294912,5.404769872330962e-7,mpi,55.447129442999994,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx064px04ns200ps01km1_r1.bson
1,1.0,4.95733968142442e-5,0.009410259000048882,1651986,1,5.5684118184464105e-5,19.13267712999999,200,ha00050cx096px06ns200ps01km1,96,27648,24.21198627000001,6,50.0,0.007334610999919278,1,656658,4.9573392262540796e-5,221184,5.670641326178796e-5,0.009604400512758586,0.001122404493222609,0.5103239029999713,110592,1.7248067863806414e-7,0.01965240535066327,663552,1.732032844083712e-7,mpi,97.15055097399994,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx096px06ns200ps01km1_r1.bson
1,1.0,2.8541960074749732e-5,0.009983151000028556,2939922,1,3.2004766388281213e-5,19.898356906999993,200,ha00050cx128px08ns200ps01km1,128,49152,24.279258432000006,8,50.0,0.007731455999987702,1,1170450,2.8542385967959716e-5,393216,3.1645541377909556e-5,0.009604421329369606,0.001122403369471998,0.5173325680000005,196608,7.454181380906572e-8,0.019652403883938154,1179648,8.053951394767675e-8,mpi,138.90169837500002,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx128px08ns200ps01km1_r1.bson
1,1.0,1.2906847822211958e-5,0.010982352000155515,6621714,1,1.4976540773408902e-5,19.494560536000108,200,ha00050cx192px12ns200ps01km1,192,110592,24.42135617200006,12,50.0,0.00815799200006495,1,2640402,1.2907506910295694e-5,884736,2.3029776093281985e-5,0.009604429285151563,0.001122402945214047,0.514398200999949,442368,2.3025247309808298e-8,0.01965240335106334,2654208,2.9852570875686654e-8,mpi,267.7112097649999,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx192px12ns200ps01km1_r1.bson
1,1.0,7.3054926335509446e-6,0.012944069999999641,11778066,1,8.400433144521216e-6,19.56810815699987,200,ha00050cx256px16ns200ps01km1,256,196608,24.950959364000028,16,50.0,0.008201292999956422,1,4700178,7.306291236565395e-6,1572864,1.9211645176273977e-5,0.009604430671789302,0.0011224028730844313,0.5184155309999596,786432,1.0938021288669386e-8,0.01965240326292719,4718592,2.2989257128370845e-8,mpi,469.1646039750001,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx256px16ns200ps01km1_r1.bson
,1.0,0.019652403222780477,0.014521093999999124,26514450,,0.009604433221304628,19.25222465500002,200,ha00050cx384px24ns200ps01km1,384,442368,24.939365527999996,24,50.0,0.007721559999993133,1,10589202,0.019652403222614943,3538944,0.009604413817577095,0.0,0.0,0.5500235669999824,1769472,0.0011224028394297859,0.0,10616832,0.0011224028393081657,mpi,,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx384px24ns200ps01km1_r1.bson
,1.0,0.019652403222630926,0.015550654999998414,47149074,,0.009604429171714597,19.58756345599997,200,ha00050cx512px32ns200ps01km1,512,786432,24.936724011999985,32,50.0,0.007803361000014775,1,18837522,0.019652403222615217,6291456,0.009604413811557928,0.0,0.0,0.5533600879999767,3145728,0.0011224028395260689,0.0,18874368,0.0011224028393083095,mpi,,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx512px32ns200ps01km1_r1.bson
